genome	Clade1	type	Subclade	Family	Genus	Species	original_Subclade	original_Subgroup	original_Family	original_Genus	original_Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source	Subclade_assignment_confidence	Family_assignment_confidence	Genus_assignment_confidence	Species_assignment_confidence	Family_bac120_crown_node	Family_SAR11_165_crown_node	Subclade_bac120_crown_node	Subclade_SAR11_165_crown_node	Genus_bac120_crown_node	Genus_SAR11_165_crown_node	Family_bac120_crown_support	Family_SAR11_165_crown_support	Subclade_bac120_crown_support	Subclade_SAR11_165_crown_support	Genus_bac120_crown_support	Genus_SAR11_165_crown_support	Family_dual_tree_support	Subclade_dual_tree_support	Genus_dual_tree_support	species_reference_genome	ANI_to_species_reference	AAI_to_species_reference
HIMB1456	I	isolate	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-C20	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-447-P03	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	560	593	560	593	560	593	0.94	1	0.94	1	0.94	1	0.94	0.94	0.94	NA	NA	NA
AG-917-J06	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	560	565	560	565	560	565	0.94	0.88	0.94	0.88	0.94	0.88	0.88	0.88	0.88	NA	NA	NA
AG-447-E19	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-913-F03	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	602	580	602	580	602	580	0.98	0.86	0.98	0.86	0.98	0.86	0.86	0.86	0.86	NA	NA	NA
AG-896-O18	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-P23	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-D23	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-895-F17	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-891-I18	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-894-O09	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-916-N14	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-447-L10	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	595	599	595	599	595	599	0.96	0.99	0.96	0.99	0.96	0.99	0.96	0.96	0.96	NA	NA	NA
HIMB2201	I	isolate	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-920-D05	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-349-O05	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-390-G23	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB123	I	isolate	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-447-C08	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-892-A22	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-410-O02	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1444	I	isolate	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-422-E09	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	599	583	599	583	599	583	0.71	0.89	0.71	0.89	0.71	0.89	0.71	0.71	0.71	NA	NA	NA
AG-891-A05	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-913-L03	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-914-B14	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-426-M05	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB2304	I	isolate	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-908-C18	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	592	585	592	585	592	585	1	1	1	1	1	1	1	1	1	NA	NA	NA
HIMB1409	I	isolate	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1413	I	isolate	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB2250	I	isolate	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-913-M13	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	578	562	578	562	578	562	0.82	0.88	0.82	0.88	0.82	0.88	0.82	0.82	0.82	NA	NA	NA
AG-422-B22	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-447-L03	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	565	562	565	562	565	562	0.67	0.88	0.67	0.88	0.67	0.88	0.67	0.67	0.67	NA	NA	NA
AG-892-F02	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	Dual-tree crown interpolation (provisional)	NA	topology_provisional	topology_provisional	topology_provisional	NA	564	593	564	593	564	593	0.58	1	0.58	1	0.58	1	0.58	0.58	0.58	NA	NA	NA
AG-390-M14	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FZCC0015	I	isolate	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-892-L17	I	SAG	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	NA	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	NA	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	Dual-tree crown interpolation (high confidence)	NA	topology_high	topology_high	topology_high	NA	567	593	567	593	567	593	1	1	1	1	1	1	1	1	1	NA	NA	NA
HIMB083	I	isolate	Ia.3.V	Pelagibacteraceae	Xanthinipelagibacter	aumoanae	Ia.3.V	Ia.3.V	Pelagibacteraceae	Xanthipelagibacter	aumoanae	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	Freel et al. 2025 Type Strains	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-390-C17	I	SAG	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	NA	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-447-K11	I	SAG	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	NA	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1685	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	NA	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1559	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1597	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1587	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1573	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1490	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1491	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1765	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1494	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1495	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1593	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1509	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG-898-C07	I	SAG	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	NA	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	NA	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1485	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1492	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1493	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1518	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1770	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1507	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HIMB1526	I	isolate	Ia.3.VI	Pelagibacteraceae	Undatipelagibacter	huakaii	Ia.3.VI	Ia.3.VI	Pelagibacteraceae	Ampluspelagibacter	NA	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	direct_literature	direct_literature	direct_literature	direct_literature	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
